Case_ID,Person_ID,Age_Group,Gender,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Weather,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area,FIR_Number,Police_Station,State_UT
MP-KER-2026-047,IND-USR-047,41–60,Male,8.518021,76.939256,09:15,Saturday,Monsoon Rain,Kochi MG Road Hub,14.12,14.06,Kochi MG Road Hub,23.8,Kochi MG Road Hub,FIR-539/2026-KER,Thiruvananthapuram City PS,Kerala
MP-KER-2026-048,IND-USR-048,18–25,Male,8.522615,76.939414,15:30,Saturday,Heatwave,Thiruvananthapuram Central,5.99,21.67,Thiruvananthapuram Central,26.1,Kochi MG Road Hub,FIR-398/2026-KER,Thiruvananthapuram City PS,Kerala
MP-MP-2026-049,IND-USR-049,26–40,Male,23.264329,77.424852,07:15,Sunday,Dense Fog,Indore Chhappan Dukan Hub,27.99,51.21,Bhopal Junction Terminal,88.5,Bhopal Junction Terminal,FIR-946/2026-MP,Bhopal Junction PS,Madhya Pradesh
MP-MP-2026-050,IND-USR-050,60+,Female,22.725592,75.87098,08:00,Thursday,Dense Fog,Bhopal Junction Terminal,28.36,11.29,Indore Chhappan Dukan Hub,22.7,Indore Chhappan Dukan Hub,FIR-612/2026-MP,Indore MG Road PS,Madhya Pradesh
MP-MP-2026-051,IND-USR-051,26–40,Female,23.259015,77.417145,21:00,Thursday,Dense Fog,Indore Chhappan Dukan Hub,20.15,26.05,Bhopal Junction Terminal,10.9,Bhopal Junction Terminal,FIR-384/2026-MP,Bhopal Junction PS,Madhya Pradesh
MP-MP-2026-052,IND-USR-052,18–25,Female,23.253547,77.425956,08:30,Wednesday,Dense Fog,Indore Chhappan Dukan Hub,7.87,48.63,Indore Chhappan Dukan Hub,83.2,Indore Chhappan Dukan Hub,FIR-933/2026-MP,Bhopal Junction PS,Madhya Pradesh
MP-MAH-2026-053,IND-USR-053,60+,Female,18.937397,72.825927,07:15,Wednesday,Thunderstorm,Pune Swargate Hub,8.5,24.4,Pune Swargate Hub,84.7,Bandra Kurla Complex,FIR-470/2026-MAH,Colaba PS Mumbai,Maharashtra
MP-MAH-2026-054,IND-USR-054,41–60,Male,19.068966,72.860879,23:45,Monday,Monsoon Rain,CST Mumbai Station,44.67,55.65,CST Mumbai Station,44.8,Pune Swargate Hub,FIR-262/2026-MAH,BKC PS Mumbai,Maharashtra
MP-MAH-2026-055,IND-USR-055,41–60,Female,18.95298,72.829056,21:45,Tuesday,Heatwave,Pune Swargate Hub,26.15,29.18,CST Mumbai Station,88.6,Bandra Kurla Complex,FIR-822/2026-MAH,Colaba PS Mumbai,Maharashtra
MP-MAH-2026-056,IND-USR-056,41–60,Female,18.513687,73.8654,06:30,Saturday,Dense Fog,Pune Swargate Hub,38.17,39.0,CST Mumbai Station,63.7,CST Mumbai Station,FIR-524/2026-MAH,Swargate PS Pune,Maharashtra
MP-MAN-2026-057,IND-USR-057,60+,Female,24.811973,93.944686,12:15,Friday,Heatwave,Imphal Kangla Fort Zone,12.81,48.78,Imphal Kangla Fort Zone,5.1,Imphal Kangla Fort Zone,FIR-486/2026-MAN,Imphal City PS,Manipur
MP-MAN-2026-058,IND-USR-058,41–60,Male,24.81686,93.922911,20:00,Friday,Heatwave,Imphal Kangla Fort Zone,3.64,17.21,Imphal Kangla Fort Zone,83.7,Imphal Kangla Fort Zone,FIR-614/2026-MAN,Imphal City PS,Manipur
MP-MAN-2026-059,IND-USR-059,18–25,Female,24.812157,93.942581,23:45,Wednesday,Heatwave,Imphal Kangla Fort Zone,39.64,11.79,Imphal Kangla Fort Zone,7.5,Imphal Kangla Fort Zone,FIR-765/2026-MAN,Imphal City PS,Manipur
MP-MAN-2026-060,IND-USR-060,18–25,Female,24.83135,93.944611,11:30,Monday,Clear,Imphal Kangla Fort Zone,16.62,12.81,Imphal Kangla Fort Zone,35.1,Imphal Kangla Fort Zone,FIR-820/2026-MAN,Imphal City PS,Manipur
MP-MEG-2026-061,IND-USR-061,26–40,Male,25.580778,91.902076,18:15,Thursday,Thunderstorm,Shillong Police Bazaar,9.01,33.06,Shillong Police Bazaar,25.1,Shillong Police Bazaar,FIR-274/2026-MEG,Shillong Central PS,Meghalaya
MP-MEG-2026-062,IND-USR-062,41–60,Female,25.584128,91.883039,19:30,Thursday,Dense Fog,Shillong Police Bazaar,11.37,29.23,Shillong Police Bazaar,46.9,Shillong Police Bazaar,FIR-552/2026-MEG,Shillong Central PS,Meghalaya
MP-MEG-2026-063,IND-USR-063,60+,Female,25.593581,91.887157,06:00,Friday,Heatwave,Shillong Police Bazaar,37.98,55.15,Shillong Police Bazaar,74.7,Shillong Police Bazaar,FIR-949/2026-MEG,Shillong Central PS,Meghalaya
MP-MEG-2026-064,IND-USR-064,26–40,Male,25.582427,91.898633,07:30,Sunday,Heatwave,Shillong Police Bazaar,4.4,28.24,Shillong Police Bazaar,13.5,Shillong Police Bazaar,FIR-838/2026-MEG,Shillong Central PS,Meghalaya
MP-MIZ-2026-065,IND-USR-065,41–60,Female,23.718124,92.726195,11:30,Sunday,Heatwave,Aizawl Zarkawt Hub,43.63,24.76,Aizawl Zarkawt Hub,83.7,Aizawl Zarkawt Hub,FIR-997/2026-MIZ,Aizawl Town PS,Mizoram
MP-MIZ-2026-066,IND-USR-066,60+,Female,23.734725,92.709368,08:45,Monday,Dense Fog,Aizawl Zarkawt Hub,25.54,32.74,Aizawl Zarkawt Hub,64.9,Aizawl Zarkawt Hub,FIR-792/2026-MIZ,Aizawl Town PS,Mizoram
MP-MIZ-2026-067,IND-USR-067,41–60,Male,23.732345,92.716744,08:45,Saturday,Dense Fog,Aizawl Zarkawt Hub,30.27,15.83,Aizawl Zarkawt Hub,5.3,Aizawl Zarkawt Hub,FIR-734/2026-MIZ,Aizawl Town PS,Mizoram
MP-MIZ-2026-068,IND-USR-068,60+,Female,23.715016,92.729218,17:45,Friday,Monsoon Rain,Aizawl Zarkawt Hub,40.19,42.75,Aizawl Zarkawt Hub,80.2,Aizawl Zarkawt Hub,FIR-238/2026-MIZ,Aizawl Town PS,Mizoram
MP-NAG-2026-069,IND-USR-069,41–60,Male,25.897518,93.725441,17:30,Monday,Heatwave,Dimapur Railway Hub,14.59,58.41,Kohima War Memorial Zone,91.2,Dimapur Railway Hub,FIR-341/2026-NAG,Dimapur Central PS,Nagaland
MP-NAG-2026-070,IND-USR-070,26–40,Male,25.892517,93.722105,23:15,Friday,Monsoon Rain,Kohima War Memorial Zone,37.15,21.65,Kohima War Memorial Zone,74.6,Kohima War Memorial Zone,FIR-228/2026-NAG,Dimapur Central PS,Nagaland
MP-NAG-2026-071,IND-USR-071,18–25,Male,25.676306,94.117555,06:30,Sunday,Monsoon Rain,Dimapur Railway Hub,27.73,10.79,Kohima War Memorial Zone,26.2,Kohima War Memorial Zone,FIR-212/2026-NAG,Kohima North PS,Nagaland
MP-NAG-2026-072,IND-USR-072,18–25,Female,25.674387,94.116941,22:15,Friday,Clear,Dimapur Railway Hub,33.54,55.44,Kohima War Memorial Zone,63.6,Kohima War Memorial Zone,FIR-625/2026-NAG,Kohima North PS,Nagaland
MP-ODI-2026-073,IND-USR-073,18–25,Female,19.828458,85.841619,20:00,Monday,Dense Fog,Puri Jagannath Corridor,28.55,13.28,Bhubaneswar Master Canteen,27.1,Bhubaneswar Master Canteen,FIR-536/2026-ODI,Puri Town PS,Odisha
MP-ODI-2026-074,IND-USR-074,18–25,Male,19.813667,85.829106,19:45,Tuesday,Heatwave,Puri Jagannath Corridor,17.24,32.67,Puri Jagannath Corridor,40.5,Puri Jagannath Corridor,FIR-912/2026-ODI,Puri Town PS,Odisha
MP-ODI-2026-075,IND-USR-075,60+,Male,20.301053,85.820729,08:00,Monday,Heatwave,Puri Jagannath Corridor,7.06,46.94,Puri Jagannath Corridor,78.1,Puri Jagannath Corridor,FIR-256/2026-ODI,Bhubaneswar Capital PS,Odisha
MP-ODI-2026-076,IND-USR-076,60+,Male,20.291708,85.82946,15:30,Wednesday,Clear,Puri Jagannath Corridor,27.27,20.64,Bhubaneswar Master Canteen,63.4,Puri Jagannath Corridor,FIR-868/2026-ODI,Bhubaneswar Capital PS,Odisha
MP-PUN-2026-077,IND-USR-077,60+,Male,31.622447,74.865657,14:00,Tuesday,Dense Fog,Amritsar Golden Temple Zone,32.51,25.45,Ludhiana Junction Terminal,33.3,Ludhiana Junction Terminal,FIR-331/2026-PUN,Amritsar Kotwali PS,Punjab
MP-PUN-2026-078,IND-USR-078,18–25,Male,31.621088,74.879529,18:45,Thursday,Dense Fog,Amritsar Golden Temple Zone,9.61,25.58,Amritsar Golden Temple Zone,31.8,Ludhiana Junction Terminal,FIR-131/2026-PUN,Amritsar Kotwali PS,Punjab
MP-PUN-2026-079,IND-USR-079,41–60,Female,31.641633,74.858793,19:45,Friday,Heatwave,Amritsar Golden Temple Zone,20.4,20.78,Amritsar Golden Temple Zone,49.7,Amritsar Golden Temple Zone,FIR-183/2026-PUN,Amritsar Kotwali PS,Punjab
MP-PUN-2026-080,IND-USR-080,41–60,Male,30.906347,75.860094,13:45,Friday,Clear,Ludhiana Junction Terminal,3.32,25.07,Amritsar Golden Temple Zone,21.1,Ludhiana Junction Terminal,FIR-639/2026-PUN,Ludhiana Division 1 PS,Punjab
MP-RAJ-2026-081,IND-USR-081,26–40,Male,26.901,75.787222,18:15,Friday,Thunderstorm,Jodhpur Clock Tower Hub,38.0,50.31,Jodhpur Clock Tower Hub,7.8,Jodhpur Clock Tower Hub,FIR-540/2026-RAJ,Jaipur Sadar PS,Rajasthan
MP-RAJ-2026-082,IND-USR-082,60+,Female,26.925035,75.798163,19:30,Monday,Heatwave,Jodhpur Clock Tower Hub,3.88,26.24,Jaipur Junction Hub,77.1,Jodhpur Clock Tower Hub,FIR-689/2026-RAJ,Jaipur Sadar PS,Rajasthan
MP-RAJ-2026-083,IND-USR-083,60+,Male,26.249235,73.016599,18:30,Saturday,Dense Fog,Jodhpur Clock Tower Hub,12.31,48.96,Jaipur Junction Hub,8.3,Jodhpur Clock Tower Hub,FIR-703/2026-RAJ,Jodhpur Khanda Falsa PS,Rajasthan
MP-RAJ-2026-084,IND-USR-084,26–40,Male,26.919221,75.796868,09:15,Wednesday,Monsoon Rain,Jaipur Junction Hub,10.29,17.64,Jodhpur Clock Tower Hub,73.1,Jodhpur Clock Tower Hub,FIR-934/2026-RAJ,Jaipur Sadar PS,Rajasthan
MP-SIK-2026-085,IND-USR-085,41–60,Female,27.346533,88.614296,10:45,Monday,Heatwave,Gangtok MG Marg Promenade,21.57,25.14,Gangtok MG Marg Promenade,27.1,Gangtok MG Marg Promenade,FIR-559/2026-SIK,Gangtok Sadar PS,Sikkim
MP-SIK-2026-086,IND-USR-086,41–60,Male,27.337752,88.592628,08:45,Thursday,Thunderstorm,Gangtok MG Marg Promenade,26.28,49.59,Gangtok MG Marg Promenade,86.1,Gangtok MG Marg Promenade,FIR-477/2026-SIK,Gangtok Sadar PS,Sikkim
MP-SIK-2026-087,IND-USR-087,18–25,Female,27.338941,88.620232,08:15,Monday,Monsoon Rain,Gangtok MG Marg Promenade,32.72,59.55,Gangtok MG Marg Promenade,50.8,Gangtok MG Marg Promenade,FIR-561/2026-SIK,Gangtok Sadar PS,Sikkim
MP-SIK-2026-088,IND-USR-088,18–25,Female,27.335522,88.614734,08:30,Monday,Thunderstorm,Gangtok MG Marg Promenade,31.49,24.21,Gangtok MG Marg Promenade,69.8,Gangtok MG Marg Promenade,FIR-795/2026-SIK,Gangtok Sadar PS,Sikkim
MP-TN-2026-089,IND-USR-089,60+,Male,13.095202,80.265007,08:30,Friday,Heatwave,Coimbatore Junction Hub,30.03,26.42,Chennai Central Railway Station,13.1,Chennai Central Railway Station,FIR-771/2026-TN,Flower Bazaar PS Chennai,Tamil Nadu
MP-TN-2026-090,IND-USR-090,41–60,Female,13.078578,80.261108,12:15,Tuesday,Monsoon Rain,Coimbatore Junction Hub,6.24,52.22,Coimbatore Junction Hub,10.6,Chennai Central Railway Station,FIR-319/2026-TN,Flower Bazaar PS Chennai,Tamil Nadu
MP-TN-2026-091,IND-USR-091,26–40,Female,13.072328,80.261125,07:45,Wednesday,Monsoon Rain,Coimbatore Junction Hub,43.72,40.53,Chennai Central Railway Station,72.5,Coimbatore Junction Hub,FIR-809/2026-TN,Flower Bazaar PS Chennai,Tamil Nadu
MP-TN-2026-092,IND-USR-092,26–40,Female,11.030768,76.964331,20:45,Sunday,Dense Fog,Chennai Central Railway Station,35.68,35.15,Chennai Central Railway Station,40.8,Coimbatore Junction Hub,FIR-955/2026-TN,Coimbatore Central PS,Tamil Nadu
MP-TEL-2026-093,IND-USR-093,18–25,Male,17.371565,78.486118,15:00,Sunday,Monsoon Rain,Hyderabad Secunderabad Hub,14.46,55.27,Hyderabad Secunderabad Hub,15.0,Hitec City Cyberabad,FIR-480/2026-TEL,Secunderabad PS,Telangana
MP-TEL-2026-094,IND-USR-094,18–25,Female,17.455039,78.390114,22:30,Tuesday,Heatwave,Hyderabad Secunderabad Hub,44.77,28.75,Hyderabad Secunderabad Hub,3.7,Hitec City Cyberabad,FIR-524/2026-TEL,Madhapur Cyberabad PS,Telangana
MP-TEL-2026-095,IND-USR-095,26–40,Female,17.371149,78.499222,20:00,Monday,Clear,Hitec City Cyberabad,13.75,51.75,Hyderabad Secunderabad Hub,53.1,Hyderabad Secunderabad Hub,FIR-583/2026-TEL,Secunderabad PS,Telangana
MP-TEL-2026-096,IND-USR-096,60+,Male,17.437535,78.363632,09:45,Friday,Thunderstorm,Hyderabad Secunderabad Hub,3.69,35.77,Hitec City Cyberabad,24.0,Hyderabad Secunderabad Hub,FIR-529/2026-TEL,Madhapur Cyberabad PS,Telangana
MP-TRI-2026-097,IND-USR-097,26–40,Male,23.834944,91.279017,22:30,Monday,Thunderstorm,Agartala Palace Square,25.85,49.32,Agartala Palace Square,49.2,Agartala Palace Square,FIR-526/2026-TRI,Agartala West PS,Tripura
MP-TRI-2026-098,IND-USR-098,18–25,Female,23.83557,91.301231,08:30,Tuesday,Clear,Agartala Palace Square,35.4,46.76,Agartala Palace Square,32.6,Agartala Palace Square,FIR-359/2026-TRI,Agartala West PS,Tripura
MP-TRI-2026-099,IND-USR-099,60+,Male,23.841412,91.29234,10:00,Saturday,Heatwave,Agartala Palace Square,4.55,20.08,Agartala Palace Square,76.2,Agartala Palace Square,FIR-812/2026-TRI,Agartala West PS,Tripura
MP-TRI-2026-100,IND-USR-100,18–25,Male,23.846174,91.288091,15:30,Sunday,Clear,Agartala Palace Square,39.36,26.6,Agartala Palace Square,12.8,Agartala Palace Square,FIR-359/2026-TRI,Agartala West PS,Tripura
MP-UP-2026-101,IND-USR-101,26–40,Female,25.315792,82.987594,21:30,Sunday,Thunderstorm,Varanasi Godowlia Crossing,14.2,14.13,Varanasi Godowlia Crossing,41.3,Kanpur Central Station,FIR-447/2026-UP,Varanasi Dashashwamedh PS,Uttar Pradesh
MP-UP-2026-102,IND-USR-102,41–60,Female,25.311413,82.961978,20:45,Tuesday,Heatwave,Kanpur Central Station,17.76,12.12,Lucknow Charbagh Station,83.7,Kanpur Central Station,FIR-435/2026-UP,Varanasi Dashashwamedh PS,Uttar Pradesh
MP-UP-2026-103,IND-USR-103,18–25,Female,25.321784,82.982644,17:15,Monday,Monsoon Rain,Kanpur Central Station,38.64,43.9,Varanasi Godowlia Crossing,42.6,Varanasi Godowlia Crossing,FIR-158/2026-UP,Varanasi Dashashwamedh PS,Uttar Pradesh
